project_id,rent,low_area_sqm,high_area_sqm,low_area_sqft,high_area_sqft,lease_date,no_of_bedrooms,street_name,project_name,district,property_type,longitude,latitude,id,category_name
1486,2500,90,100,1000,1100,2022-08-01,3,LORONG 32 GEYLANG,SUNFLOWER RESIDENCE,14,1,103.88723609607034,1.3124233011505433,1,Non-landed Properties
719,3000,90,100,1000,1100,2022-08-01,2,YIO CHU KANG ROAD,SEASONS PARK,26,1,103.83968403560615,1.3850619727301516,1,Non-landed Properties
1121,5500,90,100,1000,1100,2022-08-01,2,RODYK STREET,WATERMARK ROBERTSON QUAY,9,1,103.8380633005216,1.290300682092022,1,Non-landed Properties
3027,9100,90,100,1000,1100,2022-08-01,3,MARTIN PLACE,MARTIN MODERN,9,1,103.83787178967331,1.29325725115018,1,Non-landed Properties
993,3600,90,100,1000,1100,2022-08-01,2,UPPER SERANGOON VIEW,RIO VISTA,19,1,103.90140651939492,1.3727136411412213,1,Non-landed Properties
502,4500,90,100,1000,1100,2022-08-01,2,BISHAN STREET 15,SKY HABITAT,20,1,103.851855125352,1.35227901926673,1,Non-landed Properties
888,2850,90,100,1000,1100,2022-08-01,2,JURONG EAST AVENUE 1,PARC OASIS,22,1,103.73410118919192,1.343072830069139,1,Non-landed Properties
98,3850,90,100,1000,1100,2022-08-01,2,IRRAWADDY ROAD,DOMUS,12,1,103.845507915743,1.3257117475032949,1,Non-landed Properties
110,6190,90,100,1000,1100,2022-08-01,3,HAVELOCK ROAD,NON-LANDED HOUSING DEVELOPMENT,3,1,,,1,Non-landed Properties
53,3700,90,100,1000,1100,2022-08-01,2,LORONG 42 GEYLANG,ASTON MANSIONS,14,1,103.89073283657876,1.3140780774938476,1,Non-landed Properties
508,4800,90,100,1000,1100,2022-08-01,3,BEDOK SOUTH AVENUE 3,ECO,16,1,103.944932535671,1.3236569211235698,1,Non-landed Properties
110,2300,90,100,1000,1100,2022-08-01,99,HAVELOCK ROAD,NON-LANDED HOUSING DEVELOPMENT,3,1,,,1,Non-landed Properties
2217,4700,90,100,1000,1100,2022-08-01,2,PASIR PANJANG HILL,HORIZON RESIDENCES,5,1,103.78409365791126,1.2819425773133026,1,Non-landed Properties
90,5500,90,100,1000,1100,2022-08-01,2,GRANGE ROAD,SPRING GROVE,10,1,103.82732802844438,1.2978647498439719,1,Non-landed Properties
300,2500,90,100,1000,1100,2022-08-01,3,TAMPINES STREET 34,THE EDEN AT TAMPINES,18,5,103.95955806811772,1.355486440590538,5,Executive Condominium
1018,4800,90,100,1000,1100,2022-08-01,3,RIVER VALLEY ROAD,VILLE ROYALE,9,1,103.841372980062,1.2961484319958634,1,Non-landed Properties
3043,6800,90,100,1000,1100,2022-08-01,3,ANAMALAI AVENUE,ROYALGREEN,10,1,103.79389362465641,1.3313298204681698,1,Non-landed Properties
805,3400,90,100,1000,1100,2022-08-01,2,WOODLANDS CRESCENT,NORTHOAKS,25,5,103.80658250618475,1.4451366711490874,5,Executive Condominium
2251,2300,90,100,1000,1100,2022-08-01,2,LORONG MARICAN,RESIDENCES 88,14,1,103.9078013068885,1.3262885500321651,1,Non-landed Properties
0,3200,90,100,1000,1100,2022-08-01,2,HILLVIEW AVENUE,MERAWOODS,23,1,103.75960728090622,1.3559866413508961,1,Non-landed Properties
544,4200,90,100,1000,1100,2022-08-01,3,SUFFOLK ROAD,SUFFOLK PREMIER,11,1,103.844643938209,1.31421743411816,1,Non-landed Properties
110,2700,90,100,1000,1100,2022-08-01,99,HAVELOCK ROAD,NON-LANDED HOUSING DEVELOPMENT,3,1,,,1,Non-landed Properties
436,2700,90,100,1000,1100,2022-08-01,3,PUNGGOL WALK,ECOPOLITAN,19,5,103.8972176579622,1.4008183562971159,5,Executive Condominium
773,4300,90,100,1000,1100,2022-08-01,2,ST. PATRICK'S ROAD,SEVENTY SAINT PATRICK'S,15,1,,,1,Non-landed Properties
584,3500,90,100,1000,1100,2022-08-01,2,FLORA ROAD,THE GALE,17,1,103.96711388510759,1.358709781017774,1,Non-landed Properties
312,3400,90,100,1000,1100,2022-08-01,2,FORT ROAD,ONE FORT,15,1,103.885095363087,1.300266927238215,1,Non-landed Properties
715,3500,90,100,1000,1100,2022-08-01,3,PASIR RIS GROVE,THE PALETTE,18,1,103.94467784257822,1.369993746584486,1,Non-landed Properties
905,6400,90,100,1000,1100,2022-08-01,2,MARINA BOULEVARD,MARINA BAY RESIDENCES,1,1,103.854991983323,1.2796373571170951,1,Non-landed Properties
544,3300,90,100,1000,1100,2022-08-01,2,SUFFOLK ROAD,SUFFOLK PREMIER,11,1,103.844643938209,1.31421743411816,1,Non-landed Properties
1146,3100,90,100,1000,1100,2022-08-01,3,SIMEI STREET 1,MELVILLE PARK,18,1,103.9584404417012,1.348452052768055,1,Non-landed Properties
